id,nome,email,cpf,cnpj,tipo
1,Gabriel Martins Lima,gabslimelight@gmail.com,675.114.610-85,,F
2,Rodrigo Fernandes Cunha,diguinho_adventure@hotmail.com,521.150.466-68,,F
3,João Souza Rocha,rockstar_joao@yahoo.com.br,964.416.689-20,,F
4,Larissa Ferreira Dias,lari_days@outlook.com,509.983.631-38,,F
5,Paulo Mendes Barbosa,paulo_vascaino_mb@gmail.com,765.049.423-31,,F
6,Leonardo Cavalcanti Silva,uchiha_leo@uol.com.br,153.598.203-90,,F
7,Diego Almeida Gomes,almighty_dreamer_br@terra.com.br,647.689.389-06,,F
8,Lucia Freitas Castro,lucia_de_jesus98@bol.com.br,404.548.787-53,,F
9,Diego Cavalcanti Costa,diego_coastal_rider@gmail.com,321.649.427-60,,F
10,Lucia Pereira Souza,luci_pearl_mystique@hotmail.com,297.689.535-00,,F
11,Beatriz Santos Pereira,bia_starlight_santos@gmail.com,205.266.340-14,,F
12,Mariana Mendes Rodrigues,marizinha_pao_de_queijo@outlook.com,494.952.101-27,,F
13,Volt do Brasil EIRELI,contato@voltbrasil.com.br,,12.035.206/0001-36,J
14,Sun EPP,comercial@sunepp.com.br,,86.629.513/0001-81,J
15,Limpa EPP,vendas@limpaepp.com.br,,83.311.815/0001-19,J
16,Limpa EIRELI,atendimento@limpaeireli.com.br,,55.786.898/0001-67,J
17,Energy ME,info@energyme.com.br,,01.913.477/0001-20,J
18,Ilumina S.A.,sac@ilumina.com.br,,26.692.942/0001-71,J
19,Green EIRELI,contato@greeneireli.com.br,,74.998.934/0001-09,J
20,Energia Solar EIRELI,comercial@energiasolar.com.br,,76.628.068/0001-81,J
